model,fold,family,include_market,negative_weight,log_target,fit_seconds,predict_seconds,mae,rmse,r2,median_ae,wape,seen_route_mae,seen_route_rows,unseen_route_mae,unseen_route_rows,normal_target_mae,normal_target_rows,extreme_target_mae,extreme_target_rows
ridge_log_full_abs_weight,validate_july,ridge,True,abs,True,0.6688136999982817,0.06980099999782396,184.89175212388443,665.9110381542617,0.8041693892057757,81.70402269473533,0.07655459544678264,184.57577674252,4881,234.64258555742586,31,142.96114556450533,4861,4181.45407536196,51
ridge_log_full_abs_weight,validate_august,ridge,True,abs,True,0.8307819000001473,0.08836779999910505,165.51892326690674,643.4081329996241,0.8096765552833118,66.44275484042373,0.07078274930760944,165.69760437627963,4743,112.55114190717043,16,129.70100724707757,4723,4864.630516646162,36
ridge_log_full_abs_weight,validate_september,ridge,True,abs,True,0.8462854999997944,0.09325739999985672,188.97123829683605,647.722380752226,0.8192014145174297,95.48578048303182,0.07852945439399374,188.66372347795325,4659,319.21774204000553,11,151.17463008402268,4620,3681.377837160791,50
ridge_log_full_abs_weight,validate_october,ridge,True,abs,True,1.0585902999991958,0.07287859999996726,169.55897585399043,668.6935192319007,0.8086223489146666,71.33534002122406,0.07127167478517062,169.41138340461174,4845,258.9446530089545,8,127.40809375438819,4802,4138.353796291048,51
ridge_log_full_abs_weight,validate_sep_oct,ridge,True,abs,True,0.9084887999997591,0.1048919000022579,217.3268311906797,673.6993394563971,0.8051082898282799,122.26189372096133,0.09083860303584547,217.20214139456388,9502,273.7459951284266,21,178.12649236588828,9422,3874.2138847271635,101
hgb_mae_full_abs_weight,validate_july,hgb,True,abs,False,2.8441440999995393,0.10104739999951562,124.40562975335928,632.0883665316017,0.8235572794839461,43.26831398434206,0.05151026234360809,124.72706103309349,4881,73.79575632165769,31,86.49107817017416,4861,3738.1827914369455,51
hgb_mae_full_abs_weight,validate_august,hgb,True,abs,False,1.4157212999998592,0.09751559999858728,127.7737807713844,620.4800797395161,0.8229993409873668,54.737785821974285,0.05464136253377024,127.98342911046659,4743,65.62615125471538,16,94.3300718474137,4723,4515.402593213428,36
hgb_mae_full_abs_weight,validate_september,hgb,True,abs,False,1.4628948999998101,0.09404010000071139,122.72470323422296,625.2551675178651,0.8315264214588176,33.98580595698502,0.050999845651165894,122.88932038744198,4659,53.00185624810154,11,85.71722213836681,4620,3542.2159564913322,50
hgb_mae_full_abs_weight,validate_october,hgb,True,abs,False,1.5700612999971781,0.10158750000118744,121.00500185292593,648.3093494142663,0.8201122619380153,43.18574374546051,0.050862710723536965,121.15839194707938,4845,28.108126081239078,8,81.24832838595275,4802,3864.3686486844,51
hgb_mae_full_abs_weight,validate_sep_oct,hgb,True,abs,False,1.5016164000007848,0.15221220000239555,123.95645945656742,640.2449259707041,0.8239834865928352,38.83710196483776,0.05181151150372498,124.11359166638579,9502,52.85787575683558,21,85.01304779970371,9422,3756.875515208742,101
hgb_mae_full_missing_bad_weight,validate_july,hgb,True,missing,False,1.2365787000017008,0.09774569999717642,122.03883757826875,631.4694930440166,0.8239026181143771,40.53575782215421,0.050530289925210206,122.30160344338684,4881,80.66592829951385,31,83.99407501946796,4861,3748.2268924474984,51
hgb_mae_full_missing_bad_weight,validate_august,hgb,True,missing,False,1.4128189000002749,0.11060830000133137,129.02578067906583,622.4104664951524,0.8218962879094359,54.868607362063926,0.05517676956669095,129.2145345598257,4743,73.07205215131492,16,95.48014781621612,4723,4530.026447657934,36
hgb_mae_full_missing_bad_weight,validate_september,hgb,True,missing,False,1.5173486999992747,0.16473779999796534,123.24030853879864,626.0440309299154,0.8311010383886301,33.75411009057905,0.0512141121375154,123.38529305313504,4659,61.83277651214433,11,86.19737419189411,4620,3546.007442192779,50
hgb_mae_full_missing_bad_weight,validate_october,hgb,True,missing,False,1.5083579999991343,0.115729499997542,122.154870986916,649.2287391432271,0.8196016902199443,43.38874864486229,0.051346041662229454,122.31335715851768,4845,26.171683310657528,8,82.11270150954678,4802,3892.3999264835256,51
hgb_mae_full_missing_bad_weight,validate_sep_oct,hgb,True,missing,False,1.405356399998709,0.13533269999970798,124.94361627663172,640.968227278233,0.8235855611005358,39.70681321660459,0.052224124829105274,125.09005412695784,9502,58.68397561953609,21,85.92926217577268,9422,3764.4806889330066,101
extra_trees_full_abs_weight,validate_july,extra_trees,True,abs,False,2.16175690000091,0.10411720000047353,200.7340746123843,682.6042012815046,0.7942281014025705,58.027159259259065,0.08311412325217632,200.8434178215063,4881,183.5178099761049,31,164.8513828163147,4861,3620.8471103122733,51
extra_trees_full_abs_weight,validate_august,extra_trees,True,abs,False,2.6174400999989302,0.10693410000021686,196.78476846248435,656.5803197588749,0.8018039845524447,76.12539074074084,0.08415332010814806,197.13974700299076,4743,91.5558173611112,16,165.05080119117633,4723,4360.104974639918,36
extra_trees_full_abs_weight,validate_september,extra_trees,True,abs,False,3.1436716000025626,0.10431510000125854,129.5723149666055,623.8990209965144,0.8322564500749305,45.34127685185149,0.05384545971440884,129.77753580437135,4659,42.65196195286193,11,94.99595173512334,4620,3324.4282775555557,50
extra_trees_full_abs_weight,validate_october,extra_trees,True,abs,False,3.7520724999994854,0.11696500000107335,161.99864581334077,663.1308829001,0.8117931180894059,54.06006111111094,0.06809379887968191,162.14040792086425,4845,76.14396944444466,8,123.82448002659275,4802,3756.3583342047928,51
extra_trees_full_abs_weight,validate_sep_oct,extra_trees,True,abs,False,3.134178600001178,0.14347660000203177,135.09348830961744,640.2405129474333,0.8239859130464038,46.52843148148122,0.05646658394663628,135.31009794139692,9502,37.0827873015873,21,98.25367945846656,9422,3571.773478364503,101
